stock_code,category_code,year,quarter,data
MWG,IS_001,2021,0,124141525
MWG,IS_001,2022,0,134722248
MWG,IS_001,2023,0,119234184
MWG,IS_002,2021,0,1183419
MWG,IS_002,2022,0,1317471
MWG,IS_002,2023,0,954396
MWG,IS_010,2021,0,122958106
MWG,IS_010,2022,0,133404777
MWG,IS_010,2023,0,118279788
MWG,IS_011,2021,0,95325974
MWG,IS_011,2022,0,102542735
MWG,IS_011,2023,0,95759175
MWG,IS_020,2021,0,27632131
MWG,IS_020,2022,0,30862042
MWG,IS_020,2023,0,22520613
MWG,IS_021,2021,0,1287956
MWG,IS_021,2022,0,1313137
MWG,IS_021,2023,0,2166963
MWG,IS_022,2021,0,714707
MWG,IS_022,2022,0,1382620
MWG,IS_022,2023,0,1556146
MWG,IS_023,2021,0,-674427
MWG,IS_023,2022,0,1362143
MWG,IS_023,2023,0,1447718
MWG,IS_024,2021,0,-2210
MWG,IS_024,2022,0,0
MWG,IS_024,2023,0,0
MWG,IS_025,2021,0,17914173
MWG,IS_025,2022,0,22336838
MWG,IS_025,2023,0,20916710
MWG,IS_026,2021,0,3823390
MWG,IS_026,2022,0,1881027
MWG,IS_026,2023,0,1167651
MWG,IS_030,2021,0,6465606
MWG,IS_030,2022,0,6574693
MWG,IS_030,2023,0,1047068
MWG,IS_031,2021,0,54872
MWG,IS_031,2022,0,61606
MWG,IS_031,2023,0,36883
MWG,IS_032,2021,0,48895
MWG,IS_032,2022,0,579945
MWG,IS_032,2023,0,394259
MWG,IS_040,2021,0,5976
MWG,IS_040,2022,0,-518338
MWG,IS_040,2023,0,-357375
MWG,IS_050,2021,0,6471583
MWG,IS_050,2022,0,6056355
MWG,IS_050,2023,0,689692
MWG,IS_051,2021,0,1632975
MWG,IS_051,2022,0,1792998
MWG,IS_051,2023,0,433257
MWG,IS_052,2021,0,-62818
MWG,IS_052,2022,0,161642
MWG,IS_052,2023,0,88606
MWG,IS_060,2021,0,4901426
MWG,IS_060,2022,0,4101714
MWG,IS_060,2023,0,167829
MWG,IS_061,2021,0,4898869
MWG,IS_061,2022,0,4099763
MWG,IS_061,2023,0,167669
MWG,IS_062,2021,0,2557
MWG,IS_062,2022,0,1951
MWG,IS_062,2023,0,159
MWG,IS_070,2021,0,6897
MWG,IS_070,2022,0,2810
MWG,IS_070,2023,0,115
MWG,IS_071,2021,0,6897
MWG,IS_071,2022,0,2810
MWG,IS_071,2023,0,115
VNM,IS_001,2021,0,61012074
VNM,IS_001,2022,0,60074730
VNM,IS_001,2023,0,60478912
VNM,IS_002,2021,0,92909
VNM,IS_002,2022,0,118483
VNM,IS_002,2023,0,109997
VNM,IS_010,2021,0,60919164
VNM,IS_010,2022,0,59956247
VNM,IS_010,2023,0,60368915
VNM,IS_011,2021,0,34640863
VNM,IS_011,2022,0,36059015
VNM,IS_011,2023,0,35824183
VNM,IS_020,2021,0,26278301
VNM,IS_020,2022,0,23897231
VNM,IS_020,2023,0,24544731
VNM,IS_021,2021,0,1214683
VNM,IS_021,2022,0,1379904
VNM,IS_021,2023,0,1716367
VNM,IS_022,2021,0,202338
VNM,IS_022,2022,0,617537
VNM,IS_022,2023,0,503122
VNM,IS_023,2021,0,88799
VNM,IS_023,2022,0,166039
VNM,IS_023,2023,0,354094
