stock_code,category_code,year,quarter,data
BID,IS_001,2020,0,"100,687,502,000,000"
BID,IS_001,2021,0,"101,007,908,000,000"
BID,IS_001,2022,0,"121,110,719,000,000"
BID,IS_001,2023,0,"152,761,316,000,000"
BID,IS_010,2020,0,"7,992,789,000,000"
BID,IS_010,2021,0,"8,957,444,000,000"
BID,IS_010,2022,0,"6,526,421,000,000"
BID,IS_010,2023,0,"6,542,525,000,000"
BID,IS_011,2020,0,"2,900,221,000,000"
BID,IS_011,2021,0,"2,778,592,000,000"
BID,IS_011,2022,0,"2,316,094,000,000"
BID,IS_011,2023,0,"4,474,726,000,000"
BID,IS_012,2020,0,"5,092,568,000,000"
BID,IS_012,2021,0,"6,178,852,000,000"
BID,IS_012,2022,0,"4,210,327,000,000"
BID,IS_012,2023,0,"2,067,799,000,000"
BID,IS_013,2020,0,"154,267,000,000"
BID,IS_013,2021,0,"187,622,000,000"
BID,IS_013,2022,0,"290,952,000,000"
BID,IS_013,2023,0,"355,275,000,000"
BID,IS_014,2020,0,0
BID,IS_014,2021,0,0
BID,IS_014,2022,0,0
BID,IS_014,2023,0,"25,080,598,000,000"
BID,IS_015,2020,0,"32,344,184,000,000"
BID,IS_015,2021,0,"43,028,568,000,000"
BID,IS_015,2022,0,"47,024,970,000,000"
BID,IS_015,2023,0,"47,932,419,000,000"
BID,IS_016,2020,0,"23,317,941,000,000"
BID,IS_016,2021,0,"29,480,917,000,000"
BID,IS_016,2022,0,"24,015,485,000,000"
BID,IS_016,2023,0,"20,343,515,000,000"
BID,IS_017,2020,0,"9,026,243,000,000"
BID,IS_017,2021,0,"13,547,651,000,000"
BID,IS_017,2022,0,"23,009,485,000,000"
BID,IS_017,2023,0,"27,588,904,000,000"
BID,IS_018,2020,0,"1,799,378,000,000"
BID,IS_018,2021,0,"2,707,403,000,000"
BID,IS_018,2022,0,"4,604,520,000,000"
BID,IS_018,2023,0,"5,615,711,000,000"
BID,IS_019,2020,0,"3,300,000,000"
BID,IS_019,2021,0,"-1,023,000,000"
BID,IS_019,2022,0,"-15,049,000,000"
BID,IS_019,2023,0,"-3,948,000,000"
BID,IS_002,2020,0,"64,890,703,000,000"
BID,IS_002,2021,0,"54,184,600,000,000"
BID,IS_002,2022,0,"65,041,035,000,000"
BID,IS_002,2023,0,"96,625,750,000,000"
BID,IS_020,2020,0,0
BID,IS_020,2021,0,0
BID,IS_020,2022,0,0
BID,IS_020,2023,0,"5,611,763,000,000"
BID,IS_021,2020,0,"7,223,565,000,000"
BID,IS_021,2021,0,"10,841,271,000,000"
BID,IS_021,2022,0,"18,420,014,000,000"
BID,IS_021,2023,0,"21,977,141,000,000"
BID,IS_022,2020,0,"226,943,000,000"
BID,IS_022,2021,0,"301,133,000,000"
BID,IS_022,2022,0,"261,512,000,000"
BID,IS_022,2023,0,"472,223,000,000"
BID,IS_023,2020,0,"1,447"
BID,IS_023,2021,0,"1,729"
BID,IS_023,2022,0,"3,125"
BID,IS_023,2023,0,"3,314"
BID,IS_003,2020,0,"35,796,799,000,000"
BID,IS_003,2021,0,"46,823,308,000,000"
BID,IS_003,2022,0,"56,069,684,000,000"
BID,IS_003,2023,0,"56,135,566,000,000"
BID,IS_004,2020,0,"8,618,090,000,000"
